Host Name,Orbital Period (days),Planet Mass [Earth mass],Planet Radius [Earth radii],Planet Density (g/cm**3),Planet Equilibrium Temperature [K],Insolation Flux [Earth flux],Optical Magnitude [mag],Effective Temperature [K],Stellar Mass [Solar mass],Stellar Radius [Solar radii],Stellar Age [Gyr],Earth Similarity Index (ESI)
Kepler-167,21.803855,1.83,1.194,5.91,536.0,13.68,14.0,4890.0,0.77,0.73,3.3,
Kepler-167,1071.23228,73.4,10.15,0.386,131.0,0.0739,14.0,4890.0,0.77,0.73,3.3,
K2-26,14.5665,7.61,2.67,2.2,430.0,5.8,14.53,3785.0,0.56,0.52,1.0,
Kepler-1410,60.866168,3.82,1.78,3.72,290.0,1.06,15.948,4092.0,0.63,0.6,4.07,0.78
Kepler-1229,86.828989,2.54,1.4,5.09,212.0,0.524,15.51,3784.0,0.54,0.51,3.72,0.73
Kepler-225,6.738975,1.87,1.2,5.95,465.0,38.883,15.95,3682.0,0.66,0.48,2.88,
Kepler-225,18.794234,4.04,1.84,3.56,330.0,9.903,15.95,3682.0,0.66,0.48,2.88,
Kepler-231,19.271566,24.1,1.93,18.4,345.0,6.267,15.39,3767.0,0.59,0.49,3.47,
Kepler-235,3.340222,5.6,2.23,2.77,731.0,44.0,15.969000000000001,4255.0,0.51,0.55,6.0,
Kepler-235,7.824904,2.18,1.28,5.71,555.0,14.2,15.969000000000001,4255.0,0.51,0.55,6.0,
Kepler-235,20.060548,4.86,2.05,3.1,401.0,4.03,15.969000000000001,4255.0,0.51,0.55,6.0,
Kepler-235,46.183669,5.56,2.22,2.79,306.0,1.33,15.969000000000001,4255.0,0.51,0.55,6.0,
Kepler-236,23.968127,4.66,2.0,3.2,325.0,3.802,15.374,3750.0,0.58,0.51,3.16,
K2-9,18.4498,5.69,2.25,2.74,314.0,1.36,15.63,3390.0,0.3,0.31,1.0,0.7
K2-19,7.9194,28.5,7.74,0.334,854.0,125.9,13.0,5430.0,0.93,0.86,8.0,
K2-19,11.90715,15.9,4.86,0.94,745.0,73.1,13.0,5430.0,0.93,0.86,8.0,
Kepler-560,18.47764449,3.61,1.72,3.9,298.0,2.46,14.751,3556.0,0.34,0.33,4.07,
Kepler-538,81.73778,10.6,2.215,5.4,380.0,2.99,11.165,5547.0,0.89,0.87,5.3,
Kepler-539,125.63243,308.2951,8.373,2.9,388.0,3.681,12.379000000000001,5820.0,1.05,0.95,2.0,
HATS-17,16.254611,425.25654000000003,8.709,3.5,814.0,72.7,12.39,5846.0,1.13,1.09,2.1,
TRAPPIST-1,1.51087081,0.85,1.0859999999999999,3.6,400.0,4.25,18.8,2559.0,0.08,0.12,0.5,
TRAPPIST-1,2.4218233,1.38,1.056,6.45,342.0,2.27,18.8,2559.0,0.08,0.12,0.5,
TRAPPIST-1,4.04961,0.41,0.772,4.9,288.0,1.143,18.8,2559.0,0.08,0.12,0.5,0.9
Kepler-705,56.0560538,5.1,2.11,2.98,265.0,0.729,15.852,3722.0,0.53,0.51,3.89,0.74
K2-21,9.325038,4.04,1.84,2.7,500.0,10.0,12.85,4222.06,0.68,0.65,1.0,
K2-21,15.50192,6.76,2.49,5.4,420.0,5.1,12.85,4222.06,0.68,0.65,1.0,
K2-30,4.098503,184.02357,11.645999999999999,0.64,1092.0,299.0,13.53,5425.0,0.9,0.84,3.9,
K2-19,2.50856,14.0,1.14,51.4,1252.0,583.5,13.0,5430.0,0.93,0.86,8.0,
K2-32,8.991828,16.5,4.96,0.67,817.0,77.7,12.31,5415.0,0.86,0.84,7.9,
K2-32,31.7142,10.3,3.27,1.38,537.0,14.5,12.31,5415.0,0.86,0.84,7.9,
K2-32,20.66186,12.1,2.74,2.7,619.0,25.6,12.31,5415.0,0.86,0.84,7.9,
HD 219134,3.092926,4.74,1.6019999999999999,6.34,1015.0,176.2,5.57,4699.0,0.81,0.78,11.0,
