Host Name,Orbital Period (days),Planet Mass [Earth mass],Planet Radius [Earth radii],Planet Density (g/cm**3),Planet Equilibrium Temperature [K],Insolation Flux [Earth flux],Optical Magnitude [mag],Effective Temperature [K],Stellar Mass [Solar mass],Stellar Radius [Solar radii],Stellar Age [Gyr],Earth Similarity Index (ESI)
K2-292,16.9841,24.5,2.63,7.4,795.0,67.0,9.917,5725.0,1.0,1.09,6.8,
HD 136352,11.57779,4.62,1.482,7.8,911.0,114.0,5.65,5850.0,0.91,1.01,8.2,
HD 136352,27.5909,11.29,2.608,3.5,682.0,36.0,5.65,5850.0,0.91,1.01,8.2,
HD 136352,107.63,10.5,3.23,1.71,433.0,5.8,5.65,5850.0,0.91,1.01,8.2,
G 9-40,5.746007,4.76,2.025,3.15,456.0,7.2,13.823,3348.0,0.29,0.31,9.9,
XO-7,2.8641424,225.34147000000002,15.39,0.34,1743.0,1540.0,10.52,6250.0,1.41,1.48,1.18,
HATS-70,1.8882378,4100.007,15.513,6.64,2730.0,9110.0,12.574000000000002,7930.0,1.78,1.88,0.81,
HATS-47,3.9228038,117.27927,12.52,0.331,853.0,87.73,14.829,4512.0,0.67,0.66,8.1,
HATS-48 A,3.1316666,77.23269,8.967,0.589,955.0,137.6,14.35,4546.0,0.73,0.72,11.97,
HATS-49,4.1480467,112.19398999999999,8.575,0.986,835.0,80.45,14.998,4405.0,0.71,0.7,10.5,
HATS-72,7.3279474,39.85588,8.097000000000001,0.411,739.0,49.58,12.469000000000001,4656.1,0.73,0.72,12.17,
KELT-24,5.5514926,1646.3594,14.258,3.13,1459.0,750.9,8.332,6509.0,1.46,1.51,0.78,
